Player,Squad,Pos,Age,Min,Gls,Ast,xG,xAG,Tkl,Int,Clr,Cmp%,PrgP,PrgC,PrgR_stats_possession,SoT,Sh,KP,Touches,attack_score,defend_score,passing_score,movement_score,role,cluster
Nicolò Fagioli,Juventus,MF,23.0,571,0,0,0.6,0.1,14,2,5,88.5,41,19,18,1,12,4,470,33.7,39.5,97.15,111.5,MF,0
Romain Faivre,Brest,"MF,FW",26.0,899,3,2,2.6,1.9,13,4,3,82.1,44,24,49,9,18,10,479,69.7,38.5,122.91,181.9,MF,3
Wladimiro Falcone,Lecce,GK,29.0,3420,0,0,0.0,0.0,0,0,29,60.9,0,0,0,0,0,0,1321,0.0,43.5,6.09,132.1,GK,0
Davide Faraoni,Hellas Verona,DF,32.0,260,0,0,0.2,0.1,10,2,12,68.4,3,2,13,0,1,2,136,3.4,42.0,16.14,42.6,DF,0
Abdul Fatawu Issahaku,Leicester City,FW,20.0,579,0,2,0.4,1.6,21,4,12,62.4,17,42,60,5,13,6,326,63.3,68.0,60.040000000000006,215.6,FW,0
Ansu Fati,Barcelona,FW,21.0,233,0,0,1.0,0.2,4,1,0,83.2,6,7,32,5,12,4,170,28.5,10.0,26.92,91.5,FW,0
Khalil Fayad,Montpellier,"MF,FW",20.0,1028,0,0,1.3,0.3,31,10,15,82.9,50,25,42,3,17,7,663,49.1,104.5,119.69,187.8,MF,3
Jacopo Fazzini,Empoli,MF,21.0,1383,4,1,3.1,0.5,32,6,24,71.6,49,34,88,9,27,12,639,92.7,112.0,127.66,290.9,MF,4
Nabil Fekir,Betis,MF,31.0,180,0,1,0.7,0.6,3,0,0,81.7,10,9,18,1,7,6,108,18.9,6.0,41.97,60.3,MF,0
Mattia Felici,Cagliari,"MF,FW",23.0,925,0,3,0.6,1.0,17,7,7,67.9,19,39,75,6,10,10,422,59.2,58.5,71.78999999999999,250.7,MF,3
Luiz Felipe,Marseille,DF,27.0,122,0,0,0.0,0.0,4,3,5,87.9,4,0,0,0,0,0,86,0.0,21.5,16.79,8.6,DF,0
João Félix,Chelsea,"FW,MF",24.0,369,1,1,2.2,1.0,8,3,2,85.9,26,21,30,5,20,6,272,55.9,25.0,75.59,118.7,MF,0
João Félix,Milan,MF,24.0,760,2,0,2.7,1.2,6,1,9,81.7,40,20,56,8,29,10,408,72.4,27.5,106.77,182.8,MF,0
Frank Feller,Heidenheim,GK,20.0,121,0,0,0.0,0.0,0,0,1,63.1,0,0,0,0,0,0,70,0.0,1.5,6.3100000000000005,7.0,GK,0
Kiko Femenía,Villarreal,DF,33.0,2227,0,1,0.4,1.3,50,40,62,88.9,112,52,44,0,3,16,1710,55.8,273.0,263.79,337.0,DF,1
Evan Ferguson,West Ham,FW,19.0,156,0,0,0.6,0.3,3,1,1,75.7,1,1,7,1,5,2,66,8.7,9.5,13.47,22.1,FW,0
Evan Ferguson,Brighton,FW,19.0,246,1,0,0.5,0.4,4,0,4,74.1,1,2,9,2,7,3,88,16.0,14.0,15.11,29.8,FW,0
